分类: 📡卫视频道, 名称: 广东卫视, 有效: 6, IPv4: 18, IPv6: 0, 最小延迟: 247 ms, 最高速率: 22.41 M/s, 平均速率: 10.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 21, IPv6: 0, 最小延迟: 288 ms, 最高速率: 7.43 M/s, 平均速率: 4.02 M/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 479 ms, 最高速率: 9.07 M/s, 平均速率: 7.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 286 ms, 最高速率: 6.44 M/s, 平均速率: 5.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 461 ms, 最高速率: 8.87 M/s, 平均速率: 7.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 461 ms, 最高速率: 8.98 M/s, 平均速率: 8.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 473 ms, 最高速率: 9.38 M/s, 平均速率: 7.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 473 ms, 最高速率: 8.60 M/s, 平均速率: 7.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 1, IPv4: 11, IPv6: 0, 最小延迟: 417 ms, 最高速率: 6.40 M/s, 平均速率: 6.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 50 ms, 最高速率: 102.00 M/s, 平均速率: 26.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 广西卫视, 有效: 4, IPv4: 12, IPv6: 0, 最小延迟: 442 ms, 最高速率: 8.08 M/s, 平均速率: 7.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 3, IPv4: 12, IPv6: 0, 最小延迟: 782 ms, 最高速率: 5.55 M/s, 平均速率: 5.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 海南卫视, 有效: 2, IPv4: 14, IPv6: 0, 最小延迟: 485 ms, 最高速率: 8.67 M/s, 平均速率: 5.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 15 ms, 最高速率: 51.59 M/s, 平均速率: 16.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 4, IPv4: 15, IPv6: 0, 最小延迟: 702 ms, 最高速率: 5.53 M/s, 平均速率: 5.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 451 ms, 最高速率: 9.81 M/s, 平均速率: 9.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江西卫视, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 43 ms, 最高速率: 112.72 M/s, 平均速率: 28.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 485 ms, 最高速率: 8.85 M/s, 平均速率: 7.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河北卫视, 有效: 4, IPv4: 16, IPv6: 0, 最小延迟: 374 ms, 最高速率: 5.02 M/s, 平均速率: 3.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 63 ms, 最高速率: 86.80 M/s, 平均速率: 39.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 51 ms, 最高速率: 102.95 M/s, 平均速率: 61.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 青海卫视, 有效: 4, IPv4: 15, IPv6: 0, 最小延迟: 411 ms, 最高速率: 5.80 M/s, 平均速率: 5.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 505 ms, 最高速率: 8.56 M/s, 平均速率: 7.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 59 ms, 最高速率: 94.85 M/s, 平均速率: 25.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 41 ms, 最高速率: 134.48 M/s, 平均速率: 32.81 M/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 447 ms, 最高速率: 9.07 M/s, 平均速率: 8.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
